Year,Année,ISO,Jurisdiction,Juridiction,Product,Produit,Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),48230,a,48230,a
1989,1989,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,ON,Ontario,Ontario,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),221932,a,221932,a
1989,1989,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),11093,a,11093,a
1990,1990,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),360,a,360,a
1990,1990,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,57,a,57,a
1990,1990,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),4362,a,4362,a
1990,1990,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,457323,a,457323,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),226915,a,226915,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),13218,a,13218,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,n,,n
1990,1990,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),113007,a,113007,a
1990,1990,ON,Ontario,Ontario,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1990,1990,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),486173,a,486173,a
1990,1990,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1990,1990,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
1990,1990,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1990,1990,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),28863,a,28863,a
1991,1991,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,203,a,203,a
1991,1991,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),3733,a,3733,a
1991,1991,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),110895,a,110895,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,224270,a,224270,a
