Year,Année,ISO,Jurisdiction,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Reforestation levies,Droits de reboisement,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Area/holding charges,Droits de location ou de jouissance,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Rent charges,Frais de location,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Stumpage charges,Droits de coupe,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Sales and rentals,Ventes et locations,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Protection fees,Coût de protection du territoire,,n,,n
1990,1990,ON,Ontario,Ontario,Stumpage charges,Droits de coupe,67493000,a,67493000,a
1990,1990,ON,Ontario,Ontario,Rent charges,Frais de location,0,a,0,a
1990,1990,ON,Ontario,Ontario,Area/holding charges,Droits de location ou de jouissance,10095000,a,10095000,a
1990,1990,ON,Ontario,Ontario,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,ON,Ontario,Ontario,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",1000,a,1000,a
1990,1990,ON,Ontario,Ontario,Sales and rentals,Ventes et locations,0,a,0,a
1990,1990,ON,Ontario,Ontario,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",258000,a,258000,a
1990,1990,ON,Ontario,Ontario,Protection fees,Coût de protection du territoire,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Stumpage charges,Droits de coupe,141000,a,141000,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Rent charges,Frais de location,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Reforestation levies,Droits de reboisement,97000,a,97000,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Sales and rentals,Ventes et locations,,s,,s
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",24000,a,24000,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Protection fees,Coût de protection du territoire,0,a,0,a
1990,1990,QC,Quebec,Québec,Stumpage charges,Droits de coupe,77117000,a,77117000,a
1990,1990,QC,Quebec,Québec,Rent charges,Frais de location,0,a,0,a
1990,1990,QC,Quebec,Québec,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,QC,Quebec,Québec,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,QC,Quebec,Québec,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",239000,a,239000,a
1990,1990,QC,Quebec,Québec,Sales and rentals,Ventes et locations,377000,a,377000,a
1990,1990,QC,Quebec,Québec,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",1803000,a,1803000,a
1990,1990,QC,Quebec,Québec,Protection fees,Coût de protection du territoire,1972000,a,1972000,a
1990,1990,SK,Saskatchewan,Saskatchewan,Stumpage charges,Droits de coupe,3183000,a,3183000,a
1990,1990,SK,Saskatchewan,Saskatchewan,Rent charges,Frais de location,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",85000,a,85000,a
1990,1990,SK,Saskatchewan,Saskatchewan,Sales and rentals,Ventes et locations,10000,a,10000,a
1990,1990,SK,Saskatchewan,Saskatchewan,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",21000,a,21000,a
1990,1990,SK,Saskatchewan,Saskatchewan,Protection fees,Coût de protection du territoire,25000,a,25000,a
1990,1990,YT,Yukon,Yukon,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1990,1990,YT,Yukon,Yukon,Sales and rentals,Ventes et locations,0,a,0,a
1990,1990,YT,Yukon,Yukon,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1990,1990,YT,Yukon,Yukon,Protection fees,Coût de protection du territoire,,u,,u
1990,1990,YT,Yukon,Yukon,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,YT,Yukon,Yukon,Rent charges,Frais de location,,u,,u
1990,1990,YT,Yukon,Yukon,Stumpage charges,Droits de coupe,,u,,u
1990,1990,YT,Yukon,Yukon,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,AB,Alberta,Alberta,Reforestation levies,Droits de reboisement,,u,,u
1991,1991,AB,Alberta,Alberta,Area/holding charges,Droits de location ou de jouissance,,u,,u
1991,1991,AB,Alberta,Alberta,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1991,1991,AB,Alberta,Alberta,Sales and rentals,Ventes et locations,,u,,u
1991,1991,AB,Alberta,Alberta,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
